,adult,budget,id,imdb_id,original_language,overview,popularity,release_date,revenue,runtime,title,tmdb_id,vote_average,vote_count,belongs_to_collection,genres,production_companies,production_countries,spoken_languages
10,False,0,downloaded+2013,tt2033981,en,"A documentary that explores the downloading revolution; the kids that created it, the bands and the businesses that were effected by it, and its impact on the world at large.",2.82234,2013-06-20,0,106,Downloaded,173210,6.6,37,,Documentary,VH1 Rock Docs,United States of America,English
11,False,0,ruby+cairo+1992,tt0107999,en,Baseball cards and a food-aid worker help a woman follow her shady husband's money trail around the world.,1.238051,1992-10-29,0,91,Ruby Cairo,69035,4.4,8,,Mystery,Miramax Films,United Kingdom,Español
12,False,72000000,signs+2002,tt0286106,en,A family living on a farm finds mysterious crop circles in their fields which suggests something more frightening to come.,11.211568,2002-08-02,408247917,106,Signs,2675,6.4,1624,,Drama,"Kennedy/Marshall Company, The",United States of America,English
13,False,0,r+2010,tt1434443,da,"The R of the title stands for the young protagonist, Rune, fearlessly played by Pilou Asbæk. Imprisoned for violent assault, he's a cocky, good-looking young man placed in the hardcore ward, where his survival depends on quickly learning the prison's parallel world of rules, honor, and obligations. R also stands for Rachid, a young Muslim prisoner who becomes Rune's friend and accomplice, defying the rigid racial stratifications among the inmates.",0.866556,2010-04-22,0,99,R,49207,6.6,15,,Drama,Nordisk Film,Denmark,العربية
14,False,747000,the+bride+wore+black+1968,tt0061955,fr,"Julie Kohler is prevented from suicide by her mother. She leaves the town. She will track down, charm and kill five men who do not know her. What is her goal ? What is her purpose?",2.775402,1968-03-22,44566,107,The Bride Wore Black,4191,7.3,41,,Mystery,Les Films du Carrosse,France,Français
15,False,0,down+periscope+1996,tt0116130,en,"Bumbling Navy lieutenant Tom Dodge has been given one last chance to clean up his record. But Admiral Graham, his nemesis, assigns Dodge to the Stingray, a submarine that can barely keep afloat. To add insult to injury, the Stingray is to be the enemy flagship in the upcoming war games … and to make matters even worse, Dodge's crew is a band of idiots even more incompetent that he is!",5.184977,1996-03-01,0,92,Down Periscope,9101,5.6,110,,Comedy,Twentieth Century Fox Film Corporation,United States of America,English
16,False,0,the+tin+star+1957,tt0051087,en,An experienced bounty hunter helps a young sheriff learn the meaning of his badge.,2.119657,1957-10-23,0,93,The Tin Star,30054,7.0,20,,Action,Paramount Pictures,United States of America,English
17,False,0,demon+seed+1977,tt0075931,en,"A scientist creates Proteus, an organic super computer with artificial intelligence which becomes obsessed with human beings, and in particular the creators wife.",4.578201,1977-04-07,0,94,Demon Seed,18775,5.9,57,,Horror,Metro-Goldwyn-Mayer (MGM),United States of America,English
18,False,0,a+dangerous+place+2012,tt1155588,en,"An innocent woman, Claire Scully is drawn into a terrorist plot to kill people through the mail using a deadly strain of TB.",0.168055,2012-11-30,0,95,A Dangerous Place,160758,1.0,1,,Crime,Corrado Schoner Productions,United States of America,English
19,False,0,crime+story+1993,tt0108656,cn,"A special agent assigned to protect a wealthy business magnate. However, when the businessman is kidnapped in a daring ambush, he teams up with a seasoned detective to crack the case. But soon he discovers the case isn't that simple.",6.188664,1993-06-24,194720,103,Crime Story,18857,6.7,39,,Thriller,Golden Harvest Company,Hong Kong,广州话 / 廣州話
20,False,0,the+king+of+masks+1997,tt0115669,zh,Wang Bianlian is an aging street performer known as the King of Mask for his mastery of Sichuan Change Art in a true story. His wife left him with and infant son over 30 years ago. The son died from illness at age 10. This left Wang a melancholy loner aching for a male descendent to learn his rare and dying art.,2.291724,1997-12-20,1,91,The King of Masks,25471,7.8,12,,Drama,Shaw Brothers,China,普通话
21,False,5000000,billy+elliot+2000,tt0249462,en,"Set against the background of the 1984 Miner's Strike, Billy Elliot is an 11 year old boy who stumbles out of the boxing ring and onto the ballet floor. He faces many trials and triumphs as he strives to conquer his family's set ways, inner conflict, and standing on his toes!",12.158424,2000-05-18,110000000,110,Billy Elliot,71,7.4,774,,Drama,BBC Films,France,English
22,False,0,the+tic+code+2000,tt0165986,en,"A 10 year old gifted boy wants to be a jazz pianist much to the chagrin of his more classical oriented piano instructor. With his mother's help, he is an underage regular at a local nightspot, where he is teamed up with a sax superstar. Both come to learn that each suffers from Tourette's Syndrome (thus the film title). The older man has developed mannerisms to cover up his own fallibilities and resents the boy and his mother's acceptance of the disease.",0.938948,2000-06-01,0,91,The Tic Code,274868,1.0,1,,,,,
23,False,0,crisscross+1992,tt0104027,en,"Set in 1969, a twelve-year-old grows up in Key West with his mother, who is paying the bills by stripping at the local topless bar. The boy finds out about her activities and tries to convince her to stop, to no avail. A local restaurant owner hires him to collect fish from a boat out in the bay, and the boy discovers that the restaurant owner is using the fish to bring drugs in to shore. He steals one load and goes about selling it so his mother can afford to quit her job.",0.015894,1992-05-08,0,100,CrissCross,70423,6.3,8,,Drama,Metro-Goldwyn-Mayer (MGM),United States of America,English
24,False,0,i+accuse+1938,tt0031503,fr,"After serving in the trenches of World War I, Jean Diaz recoils with such horror that he renounces love and personal pleasure to immerse himself in scientific research, seeking a machine to prevent war. He thinks he has succeeded, but the government subverts his discovery, and Europe slides with seeming inevitability toward World War II. In desperation, Diaz summons the ghosts of the war dead from the graves and fields of France to give silent, accusing protest.",0.228809,1938-01-23,0,95,I Accuse,130633,6.0,2,,Horror,,,Français
25,False,0,what+we+did+on+our+holiday+2014,tt2725962,en,"Doug and Abi  and their three children travel to the Scottish Highlands for Doug's father Gordie's birthday party. It's soon clear that when it comes to keeping a secret under wraps from the rest of the family, their children are their biggest liability...",11.576578,2014-09-26,1289998,95,What We Did on Our Holiday,276843,6.7,179,,Comedy,BBC Films,United Kingdom,English
26,False,0,journey+to+the+center+of+the+earth+1959,tt0052948,en,An Edinburgh professor and assorted colleagues follow an explorer's trail down an extinct Icelandic volcano to the earth's center.,10.38937,1959-12-14,10000000,132,Journey to the Center of the Earth,11571,6.7,107,,Adventure,Twentieth Century Fox Film Corporation,United States of America,Pусский
27,False,1200000,wizards+1977,tt0076929,en,An ambiguous battle between good and evil wages in a post-apocalyptic earth populated by netherworld creatures who have re-emerged after the nuclear winter. Two wizard twin brothers - the evil Blackwolf and the good Avatar - battle for supremacy. The war turns in Blackwolf's favor when he discovers the methods of warfare used by the ill-fated humans of the past.,2.914738,1977-02-09,9000000,80,Wizards,16220,6.4,42,,Animation,Twentieth Century Fox Film Corporation,United States of America,English
28,False,5000000,rare+birds+2001,tt0295552,en,A down-and-out restaurateur and his neighbor hatch a plan to lure luminaries to their small Newfoundland town.,1.788953,2001-09-09,0,99,Rare Birds,74692,5.4,7,,Comedy,Pope Productions,Canada,English
